,"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",добыча полезных ископаемых,обрабатывающие производства,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",строительство,торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,транспортировка и хранение,деятельность гостиниц и предприятий общественного питания,деятельность в области информации и связи,деятельность финансовая и страховая,деятельность по операциям с недвижимым имуществом,"деятельность профессиональная, научная и техническая",деятельность административная и сопутствующие дополнительные услуги,государственное управление и обеспечение военной безопасности; социальное обеспечение,образование,деятельность в области здравоохранения и социальных услуг,"деятельность в области культуры, спорта, организации досуга и развлечений",предоставление прочих видов услуг
Ярославская область,"27,8",1,"425,2",103,"9,5","15,5","223,9","54,4","3,2","10,1",8,"10,2","1,9","0,1","0,1","0,1","1,5","2,4","0,5"
г. Москва,"11,3","1319,4","13343,7","3806,9","366,7","2493,1","29625,8",5741,"483,5","4290,5","896,6","3300,4",973,"54,5","0,1","6,8","249,3","223,2","190,2"
Республика Карелия,"22,5","177,4","116,7","17,8",2,4,"26,9","6,9","0,3","0,8","1,4","5,9",1,"0,1","0,1","0,1","0,3","0,1","0,1"
Республика Коми,"6,9","607,7","187,7","58,1","6,5","8,9",21,"268,9","2,9","1,1","2,9","4,7","3,6","0,1","0,1","0,1","0,1","0,1","0,2"
Архангельская область,"25,6","43,9","371,3","24,6","0,1","0,1","0,1","54,1","0,1","0,1","2,4","3,7","0,1","0,1","0,1","0,1",0.3,"0,1","0,4"
Вологодская область,"35,3","0,1","1409,2","72,2","12,6",72,"205,7","16,6","0,6","111,9","1,4","5,2","3,7","0,1","0,1","0,1","0,1","0,1","0,4"
Калининградская область,"43,9","19,9",695,37,"5,1","11,8","308,7","94,9","1,4","6,2","13,9","7,7",2,"0,1","0,1","0,1","1,8","0,9","0,4"
Ленинградская область,"84,3","16,3",1402,"47,3","14,4","117,6","394,5","176,6","0,7","2,2","15,9","17,5","3,9","0,4","0,1","0,1","0,1","3,3","1,2"
Мурманская область,"152,9","146,2","784,8","35,1","3,3",11,"40,3","40,8","1,4","0,2","13,3","17,3","1,1","0,1","0,1","0,1","1,6","0,4","0,1"
Новгородская область,"14,9","0,1","288,2","41,7","2,7","8,9",115,"11,9","4,7","0,2","0,2","2,3","0,1","0,1","0,1","0,1","1,3","0,1","0,1"
Псковская область,"54,8","2,1","113,4","20,5","26,5","2,7","45,5","1,5","0,7","0,3","0,3","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
г. Санкт-Петербург,5,"170,5","5550,8","645,3","68,6",651,"15137,1","1077,7","124,8","674,6","316,4","525,5","118,8","1,9","0,1","0,4","65,5","18,8","17,2"
Республика Адыгея,"2,2","1,8","38,5","0,1","0,4","6,6","34,1","0,1","0,1","0,1","0,5","0,4","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Республика Калмыкия,"0,7","0,1","1,3","0,1","0,3","0,1","0,1","5,3","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Республика Крым,"9,7","22,8","64,2","57,3","8,4","20,8","218,7","24,7","12,8","2,8","8,7","1,7","2,3","0,1","0,1","0,1","20,4","0,1","0,2"
Краснодарский край,"275,6","39,5","918,7","303,9","32,4","187,6","3348,5","582,3","38,5","15,2",49,"63,4","6,3","0,5","0,1","0,1","39,4","15,9","1,2"
Астраханская область,"5,1","386,2","9,5",40,"5,2","21,3","34,7",9,"0,7","0,2","1,5",1,"0,8","0,1","0,1","0,1","0,6","0,1","0,1"
Волгоградская область,37,"12,9","482,3","104,7","25,4","22,2","189,4","44,6","2,2","1,8","7,9",11,"2,3","0,1","0,1","0,1","1,1","0,1","0,1"
Ростовская область,"102,7","34,7","1046,3","200,3","32,3",54,"1305,2","87,4","2,4","2,1","17,8","38,3",14,"0,1","0,1","0,1","4,2","15,9","0,4"
г. Севастополь,"2,7","0,1","10,9","13,3","2,5","0,1","0,1","2,2","0,1",1,"2,9","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Республика Дагестан,"3,4","4,2","32,1","16,3","1,4","11,7","24,1","16,8","0,1","0,1","0,3","0,1","0,7","0,1","0,1","0,1","0,5","0,1","0,1"
Республика Ингушетия,"1,1","1,4","0,1","0,1","0,8","2,4","0,1","0,3","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Кабардино-Балкарская республика,"1,9","0,1","35,8","12,9","0,9","1,6","8,3","0,5","0,2","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,3","0,1","0,1"
Карачаево-Черкесская республика,"5,9","2,9","28,5","0,1","2,5","8,8","0,1","5,1","0,1","0,1","1,9","0,1","0,1",,"0,1","0,1","0,1","0,1","0,1"
Республика Северная Осетия – Алания,"1,2","0,1","14,7","6,9","1,2","1,9","8,2","1,9","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Чеченская Республика,"1,3",4,"6,8","23,5","2,3","31,4","24,1","7,1","0,1",2,"0,1",1,"0,3","0,1","0,1","0,1","0,4","0,1","0,1"
Ставропольский край,"149,8","24,5","328,3","282,4","10,5","17,9","247,6","43,2","3,4","2,5","2,9","7,8","4,4","0,1","0,1","0,1","12,7","0,1","0,2"
Республика Башкортостан,"53,6","145,6","1686,2","260,3","25,7","108,5","1049,8","124,3","4,7","23,6","12,9","54,7","19,5","0,1","0,1","0,1","13,8","0,1","0,2"
Республика Марий Эл,"41,5","0,1","123,3","22,2","3,4","7,8","32,7",1,"0,2","1,6","0,5","1,5","0,5","0,1","0,1","0,1","0,4","0,1","0,2"
Республика Мордовия,"76,5","0,1","252,1","21,6","1,8","9,2","31,2","9,7","0,5","0,2","0,3","3,4","0,6","0,1","0,1","0,1","0,2","0,1","0,1"
Республика Татарстан,"90,7","1702,6","2025,5",340,"40,9","144,8","1333,2","220,9","10,3","68,6","24,4","67,6",23,"0,1","0,1","0,3","5,2","4,2","2,9"
Удмуртская Республика,39,"360,5","313,3","31,4","9,7","8,7","88,4","15,4","1,1","1,8","3,7","10,3","1,2","0,1","0,1","0,1",2,"0,2","0,2"
Чувашская Республика,"9,2","1,4","228,4","29,4","6,7","16,8",63,"3,6","0,4","1,6","3,1",6,"0,5","0,1","0,1","0,1",1,"0,1","0,2"
Пермский край,"23,8","512,3","931,8","93,1",29,"48,8","352,9","86,5","3,4","56,6","7,8","47,4",5,"0,1","0,1","0,2","8,5","0,3","0,2"
Кировская область,"31,7","1,6","214,3","32,9","6,7","7,7","86,5","7,8","1,5","0,2","1,6","3,2","0,3","0,1","0,1","0,1","4,7","0,1","0,2"
Нижегородская область,"38,3","0,1","1353,7","302,7","30,5",93,"1424,1","249,5","5,2","25,4","18,7","308,6","7,5","0,1","0,1","0,1","5,2","1,2","0,4"
Оренбургская область,"21,6","834,6","295,2","20,6","25,1","26,3","281,6","40,3","1,7","1,2","2,7","2,3","1,4","1,6","0,1","0,1","1,6","0,2","0,2"
Пензенская область,"80,1","0,5","186,5","35,8","5,5","8,5","239,9","6,3","0,1","0,4","19,9","15,2",2,"0,1","0,1","0,1","0,7","0,1","0,1"
Самарская область,"23,3","637,4","1251,6","167,1","57,1","78,1","520,3","336,2",5,"4,9","22,9","67,2",9,"7,8","0,1","0,1","9,5","0,4","0,7"
Саратовская область,"33,6","42,7","443,6","139,4","6,9","30,8","222,2","55,3","1,6",2,"2,8","6,5","1,5","0,1","0,1","0,1","2,6","0,1","0,4"
Ульяновская область,"9,4","4,3","260,7","38,6","6,5","6,9","126,7","31,6","3,6","6,1","2,5","13,1","0,2","0,1","0,1","0,1","0,8","0,1","0,1"
Курганская область,"6,1","9,6","128,2","43,5","1,7","10,9","49,4","2,3","0,6","0,3","1,3","1,8","0,3","0,1","0,1","0,1","0,1","0,1","0,1"
Свердловская область,"53,7","157,5","2752,5",204,"152,8","128,8","1652,8","279,5","9,6","45,5","54,2","188,5","91,3","0,2","0,1","0,1","20,5","1,3","1,1"
Тюменская область,"33,7","613,9","975,3",46,"14,9","101,9","182,8","170,2","3,3","9,4","12,3","119,6","9,5","0,1","0,1","0,1",7,"0,1","0,1"
Челябинская область,"65,8","105,6","2035,2","193,4",49,"41,5","610,1","87,4","2,7","7,4","8,1","143,5",9,"0,1","0,1","0,1","9,4","0,1","0,3"
Республика Алтай,"0,4","0,1","0,1","0,9","0,1","3,4","58,7","2,2","0,1","0,1","3,7","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Республика Тыва,"0,1","23,3","0,1","5,7","0,1",4,"0,1","0,6","0,3","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Республика Хакасия,1,"109,2","112,2","11,9","1,1",7,"11,7","13,1","0,1","0,1","0,5","0,1","1,4","0,1","0,1","0,1","0,1","0,1","0,1"
Алтайский край,"61,2","16,1","366,8","67,7","8,8",13,"340,3","21,1","0,7","1,2","1,2","6,8","9,5","0,1","0,1","0,1","5,9","0,1","0,2"
Красноярский край,"53,6","958,3","1705,8","281,9","31,5",91,"494,1","271,2","10,5","2,8","23,9","65,6","13,3","0,1","0,1","0,1","3,2","0,2","0,3"
Иркутская область,"46,8","711,8","417,7","231,3","16,6","51,9","446,9","172,6","3,7","2,9","6,5","63,1","9,7","0,1","0,1","0,1","2,7","0,4","0,4"
Кемеровская область,23,"1502,3","874,2","225,6","21,2","77,1","833,2","159,2","2,5","5,6","11,8","18,4",6,"0,1","0,1","0,1","2,9","0,5","0,4"
Новосибирская область,"57,4","127,6","444,6","117,2","24,1","22,6","918,6","408,9","2,6","34,6","13,7","29,7","5,2","0,1","0,1","0,1","10,9","0,8","0,7"
Омская область,"35,7","0,1","311,7","74,9","11,4","30,4","232,6","112,9","0,6","1,6","4,1","6,6","0,8","0,1","0,1","0,1","3,9","2,1","0,1"
Томская область,"27,9","290,3","165,8","55,2","4,4","17,9",471,"120,2","1,3","3,9","13,8","13,1","1,6","0,1","0,1","0,1","2,3","0,1","0,3"
Республика Бурятия,"3,6","76,5","86,1","2,1","2,3","4,4","64,5","1,9","2,7","0,4","1,2","3,4","0,1","0,1","0,1","0,1","0,8","0,1","0,1"
Республика Саха (Якутия),"2,5","847,7","16,7","75,5","3,7","22,5",50,"74,5","1,4","6,6","5,7","8,6",2,"0,1","0,1","0,1","0,1","0,1","0,1"
Забайкальский край,"0,7","181,5","23,2","37,7","2,2","8,1","36,6","6,3","0,1","1,1","1,7","5,8",1,"0,1","0,1","0,1",2,"0,1","0,1"
Камчатский край,"138,4","0,1","25,3","20,8","2,2","6,5","82,6","16,6","0,5","0,1","1,7","0,8","0,7","0,1","0,1","0,1","0,1","0,1","0,1"
Приморский край,"134,6","26,2","258,5","142,4","7,5",15,"1130,8","228,3",4,"5,3","8,9","8,5","2,6","0,1","0,1","0,1","3,2","3,3","0,1"
Хабаровский край,"74,3",167,"153,3","96,4",7,"21,7","464,5","119,6","6,3",1,"5,1","14,3","2,4","0,1","0,1","0,1","1,2","0,1","0,7"
Амурская область,"21,2","100,2","36,3",69,"1,9","54,4",70,"10,1","0,4","0,1","0,6","24,1","0,8","0,1","0,1","0,1","0,1","0,1","0,1"
Магаданская область,"20,5","259,3","0,1","22,2","0,6","11,4","72,8","8,7","0,1","0,1","0,1","3,9","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Сахалинская область,19,"945,8","61,3","21,1","2,9",32,"43,4","68,6","3,4","0,2","4,9","18,4","3,6","0,1","0,1","0,1","1,5","0,1","0,1"
Еврейская автономная область,"0,2","0,1","4,6","1,5","0,4","0,1",4,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
